Composition (at. %),VEC1,VEC,Electronegativity,Tm/K,δ/nm,B,C,Al,Si,P,Cr,Fe,Co,Ni,Cu,Ga,Y,Zr,Nb,Mo,Sn,Sb,Pr,Nd,Sm,Gd,Tb,Dy,Er,Tm,Hf,Ta,Bs/T,T/K
Fe76P10B11Nb2Cr1,0.99,7.07,1.8828,1799.01,0.00486,0.11,0,0,0,0.1,0.01,0.76,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,793
Fe62Co9.5Pr3.5B25,1.78,6.74,1.86275,1924.17,0.00891,0.25,0,0,0,0,0,0.62,0.095,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,1.36,884
Fe62Co9.5Nd3Dy0.5B25,1.845,6.805,1.8635,1929.275,0.00885,0.25,0,0,0,0,0,0.62,0.095,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.005,0,0,0,0,1.41,900
Fe62Co9.5Sm3.5B25,1.885,6.845,1.86415,1929.175,0.00884,0.25,0,0,0,0,0,0.62,0.095,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,1.35,893
Fe62Co9.5Gd3.5B25,1.955,6.915,1.8652,1937.54,0.008805,0.25,0,0,0,0,0,0.62,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,1.41,907
Fe62Co9.5Dy3.5B25,2.025,6.985,1.8659,1941.005,0.0087,0.25,0,0,0,0,0,0.62,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,1.43,914
Fe62Co9.5Tb3.5B25,1.99,6.95,1.8617,1939.045,0.0087,0.25,0,0,0,0,0,0.62,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,1.36,903
Fe62Co9.5Er3.5B25,2.095,7.055,1.8666,1945.1,0.00863,0.25,0,0,0,0,0,0.62,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,1.38,884
Fe38.4Ni38.4P13.44B5.76Ga4,4.8048,7.8768,1.9204,1623.3072,0.0043952,0.0576,0,0,0,0.1344,0,0.384,0,0.384,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,728
Fe57.6Co7.2Ni7.2B19.2Si4.8Nb4,2.336,6.944,1.87384,1939.584,0.006424,0.192,0,0,0.048,0,0,0.576,0.072,0.072,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,no,873
Fe43.2Co7.2Ni21.6B19.2Si4.8Nb4,3.776,7.232,1.88536,1927.632,0.006568,0.192,0,0,0.048,0,0,0.432,0.072,0.216,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,no,852
Fe43.2Co14.4Ni14.4B19.2Si4.8Nb4,3.704,7.16,1.8832,1930.512,0.006568,0.192,0,0,0.048,0,0,0.432,0.144,0.144,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,no,865
Fe43.2Co21.6Ni7.2B19.2Si4.8Nb4,3.632,7.088,1.88104,1933.392,0.006568,0.192,0,0,0.048,0,0,0.432,0.216,0.072,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,no,878
Co43.5Fe20Ta5.5B31.5,5.135,6.735,1.9089,2057.37,0.010205,0.315,0,0,0,0,0,0.2,0.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,no,982
Co52.43Fe9.8Ta5.39B30.38Mo2,6.0196,6.8036,1.908826,2058.5401,0.0102066,0.3038,0,0,0,0,0,0.098,0.5243,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.0539,no,990
Co51.91Fe9.702Ta5.336B30.076Mo1.98Si1,5.999404,6.775564,1.90873774,2054.824699,0.0101745,0.300762,0,0,0.01,0,0,0.09702,0.519057,0,0,0,0,0,0,0.0198,0,0,0,0,0,0,0,0,0,0,0,0.053361,no,977
Co51.381Fe9.604Ta5.2822B29.772Mo1.96Si2,5.979208,6.747528,1.90864948,2051.109298,0.0101425,0.297724,0,0,0.02,0,0,0.09604,0.513814,0,0,0,0,0,0,0.0196,0,0,0,0,0,0,0,0,0,0,0,0.052822,no,972
Fe62Co9.5Nd3Dy0.5B25,1.845,6.805,1.8635,1929.275,0.00885,0.25,0,0,0,0,0,0.62,0.095,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.005,0,0,0,0,1.37,899
Fe67Cr4Mo4Ga4P11B5C5,1.5,6.86,1.9217,1845.3,0.00631,0.05,0.05,0,0,0.11,0.04,0.67,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,no,785
Fe62Co5Cr4Mo4Ga4P11B5C5,1.95,6.91,1.9242,1843.15,0.00636,0.05,0.05,0,0,0.11,0.04,0.62,0.05,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,no,786
Fe65Sb2Cr4Mo4Ga4P11B5C5,1.6,6.8,1.9261,1827.16,0.00705,0.05,0.05,0,0,0.11,0.04,0.65,0,0,0,0.04,0,0,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,no,776
