Composition (at. %),VEC1,VEC,Electronegativity,Tm/K,δ/nm,B,C,Al,Si,P,Cr,Fe,Co,Ni,Cu,Ga,Y,Zr,Nb,Mo,Sn,Sb,Pr,Nd,Sm,Gd,Tb,Dy,Er,Tm,Hf,Ta,Bs/T,T/K
Fe74.7Co8.3Si1B16,1.267,7.243,1.86845,1894.831,0.004473,0.16,0,0,0.01,0,0,0.747,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,711
Fe70.55Co12.45Si1B16,1.6405,7.2845,1.870525,1893.0465,0.0045145,0.16,0,0,0.01,0,0,0.7055,0.1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,709
Fe66.4Co16.6Si1B16,2.014,7.326,1.8726,1891.262,0.004556,0.16,0,0,0.01,0,0,0.664,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,708
Fe58.1Co24.9Si1B16,2.761,7.409,1.87675,1887.693,0.004639,0.16,0,0,0.01,0,0,0.581,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,712
Fe49.8Co33.2Si1B16,3.508,7.492,1.8809,1884.124,0.004722,0.16,0,0,0.01,0,0,0.498,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,715
Fe66.4Co16.6B9Si5P3,2.114,7.426,1.8715,1819.082,0.003396,0.09,0,0,0.05,0.03,0,0.664,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,725
Fe67.2Co16.8B8.5Si4.5P3,2.097,7.473,1.8702,1816.846,0.003228,0.085,0,0,0.045,0.03,0,0.672,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,700
Fe68Co17B8Si4P3,2.08,7.52,1.8689,1814.61,0.00306,0.08,0,0,0.04,0.03,0,0.68,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,679
Fe68.8Co17.2B7.5Si3.5P3,2.063,7.567,1.8676,1812.374,0.002892,0.075,0,0,0.035,0.03,0,0.688,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,651
Fe69.6Co17.4B7Si3P3,2.046,7.614,1.8663,1810.138,0.002724,0.07,0,0,0.03,0.03,0,0.696,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,630
Fe55Co25P14B6,3.13,7.53,1.9055,1700.77,0.00397,0.06,0,0,0,0.14,0,0.55,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no
Fe48Co32P14B6,3.76,7.6,1.909,1697.76,0.00404,0.06,0,0,0,0.14,0,0.48,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no
Fe45Co35P14B6,4.03,7.63,1.9105,1696.47,0.00407,0.06,0,0,0,0.14,0,0.45,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no
Fe60Co20P14B6,2.68,7.48,1.903,1702.92,0.00392,0.06,0,0,0,0.14,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,724
Fe50Co30P14B6,3.58,7.58,1.908,1698.62,0.00402,0.06,0,0,0,0.14,0,0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,734
Fe40Co40P14B6,4.48,7.68,1.913,1694.32,0.00412,0.06,0,0,0,0.14,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,738
Fe30Co50P14B6,5.38,7.78,1.918,1690.02,0.00422,0.06,0,0,0,0.14,0,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,736
Fe20Co60P14B6,6.28,7.88,1.923,1685.72,0.00432,0.06,0,0,0,0.14,0,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,707
Fe68Co17B14Si1,1.99,7.43,1.8686,1880.01,0.00402,0.14,0,0,0.01,0,0,0.68,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,672
Fe79.8Co4.2B15Si1,0.868,7.252,1.8643,1891.054,0.004162,0.15,0,0,0.01,0,0,0.798,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,700
Fe75.6Co8.4B15Si1,1.246,7.294,1.8664,1889.248,0.004204,0.15,0,0,0.01,0,0,0.756,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,693
Fe71.4Co12.6B15Si1,1.624,7.336,1.8685,1887.442,0.004246,0.15,0,0,0.01,0,0,0.714,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,692
Fe69.3Co14.7B15Si1,1.813,7.357,1.86955,1886.539,0.004267,0.15,0,0,0.01,0,0,0.693,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,692
Fe67.2Co16.8B15Si1,2.002,7.378,1.8706,1885.636,0.004288,0.15,0,0,0.01,0,0,0.672,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,692
Fe58.8Co25.2B15Si1,2.758,7.462,1.8748,1882.024,0.004372,0.15,0,0,0.01,0,0,0.588,0.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,692
Fe66.4Co16.6B16Si1,2.014,7.326,1.8726,1891.262,0.004556,0.16,0,0,0.01,0,0,0.664,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,708
Fe78Co5 Si2B11P3C1,1.05,7.29,1.875,1861.75,0.00408,0.11,0.01,0,0.02,0.03,0,0.78,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,717
Fe73Co10 Si2B11P3C1,1.5,7.34,1.8775,1859.6,0.00413,0.11,0.01,0,0.02,0.03,0,0.73,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,711
Fe68Co15Si2B11P3C1,1.95,7.39,1.88,1857.45,0.00418,0.11,0.01,0,0.02,0.03,0,0.68,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,709
